RecipeID,Type,Description,Ingredients,Instructions
1,"Soup","Hearty chicken soup","chicken, salt, pepper, onion, garlic, carrots, celery, noodles, water","Boil chicken and vegetables until cooked, add noodles, cook until tender."
2,"Dessert","Classic chocolate cake","flour, sugar, cocoa powder, eggs, oil, milk, baking powder, chocolate frosting","Mix ingredients, bake at 350째F for 30 mins, cool, apply frosting."
3,"Salad","Fresh garden salad","lettuce, tomatoes, cucumbers, carrots, croutons, Italian dressing","Chop vegetables, combine in bowl, add croutons, toss with dressing."
4,"Main Dish","Homemade beef burgers","ground beef, buns, lettuce, tomato, onion, ketchup, mustard","Form beef into patties, grill to preference, assemble burgers."
5,"Side","Garlic mashed potatoes","potatoes, garlic, butter, cream, salt, pepper","Boil potatoes, mash with garlic, butter, and cream, season to taste."
6,"Beverage","Refreshing lemonade","lemons, sugar, water, ice","Mix lemon juice, sugar, and water, stir until dissolved, serve over ice."
7,"Dessert","Simple apple pie","apples, sugar, cinnamon, premade pie crust","Fill crust with sliced apples, sugar, and cinnamon, bake until golden."
8,"Soup","Creamy tomato soup","tomatoes, cream, basil, salt, pepper, garlic","Blend tomatoes and spices, simmer, stir in cream, heat through."
9,"Main Dish","BBQ chicken pizza","pizza dough, BBQ sauce, chicken, red onion, mozzarella","Top dough with sauce, chicken, onion, and cheese, bake until crispy."
10,"Salad","Caesar salad","romaine lettuce, croutons, Caesar dressing, parmesan cheese","Toss lettuce with dressing and croutons, sprinkle with parmesan."
11,"Side","Buttered corn on the cob","corn, butter, salt, pepper","Boil or grill corn, spread with butter, season with salt and pepper."
12,"Dessert","Strawberry shortcake","strawberries, sugar, whipped cream, shortcakes","Macerate strawberries in sugar, layer with shortcakes and whipped cream."
13,"Beverage","Iced mocha latte","coffee, cocoa powder, milk, ice, whipped cream, sugar","Blend coffee, cocoa, milk, and sugar, pour over ice, top with cream."
14,"Main Dish","Spaghetti Carbonara","spaghetti, eggs, bacon, parmesan cheese, garlic, salt, pepper","Cook spaghetti, stir in other ingredients over low heat until creamy."
15,"Soup","Vegetable broth","carrots, onions, celery, garlic, salt, water","Simmer vegetables in water until flavorful, strain out solid pieces."
16,"Salad","Greek salad","cucumber, tomatoes, olives, feta cheese, olive oil, oregano","Combine vegetables and cheese, dress with olive oil and oregano."
17,"Side","Rice pilaf","rice, chicken broth, onion, butter, parsley","Saute onion in butter, add rice and broth, cook until tender, stir in parsley."
18,"Dessert","Banana pudding","bananas, vanilla wafers, pudding mix, milk, whipped cream","Layer bananas, wafers, and pudding, top with whipped cream."
19,"Beverage","Fruit smoothie","banana, strawberries, yogurt, honey, ice","Blend all ingredients until smooth."
20,"Main Dish","Tacos","ground beef, taco shells, lettuce, tomato, cheese, sour cream, taco seasoning","Cook beef with seasoning, assemble tacos with desired toppings."
21,"Soup","Mushroom soup","mushrooms, onion, garlic, broth, cream, thyme, butter, flour","Saute mushrooms and onions, add flour, then liquid ingredients, simmer until thickened."
22,"Dessert","Blueberry muffins","flour, blueberries, sugar, baking powder, salt, eggs, milk, vegetable oil","Combine ingredients, fill muffin cups, bake at 375째F for 25-30 mins."
23,"Salad","Cobb salad","lettuce, chicken, bacon, eggs, avocado, cheese, tomatoes, red-wine vinaigrette","Arrange ingredients in rows on lettuce, drizzle with dressing."
24,"Main Dish","Lemon garlic tilapia","tilapia, lemon, garlic, butter, parsley, salt, pepper","Bake tilapia with butter, garlic, and lemon, garnish with parsley."
25,"Side","Sweet potato fries","sweet potatoes, olive oil, cornstarch, paprika, garlic powder, salt","Slice potatoes, toss with oil and seasonings, bake until crispy."
26,"Beverage","Hot chocolate","milk, cocoa powder, sugar, whipped cream","Heat milk, mix in cocoa and sugar, top with whipped cream."
27,"Dessert","Peach cobbler","peaches, sugar, flour, baking powder, milk, butter","Lay sliced peaches in baking dish, top with batter, bake until golden."
28,"Soup","Minestrone","vegetable broth, pasta, beans, carrots, tomatoes, celery, onions, garlic, spinach, zucchini","Simmer vegetables and beans, add pasta, cook until tender."
29,"Main Dish","Stir-fried vegetables","bell peppers, broccoli, carrots, snap peas, soy sauce, sesame oil, garlic","Stir-fry vegetables, add soy sauce, sesame oil, and garlic."
30,"Salad","Caprese salad","tomatoes, mozzarella, basil, olive oil, balsamic glaze, salt","Layer cheese and tomatoes, top with basil, drizzle with oil and glaze."
31,"Side","Roasted Brussels sprouts","Brussels sprouts, olive oil, salt, pepper","Toss sprouts with oil, salt, and pepper, roast until tender."
32,"Dessert","Chocolate chip cookies","flour, baking soda, butter, sugar, brown sugar, vanilla extract, eggs, chocolate chips","Mix ingredients, drop onto sheet, bake at 375째F for 9-11 mins."
33,"Beverage","Mango lassi","yogurt, mango, sugar, milk, cardamom","Blend all ingredients until smooth."
34,"Main Dish","Chicken Alfredo","fettuccine, chicken, butter, garlic, cream, Parmesan cheese, parsley","Cook pasta, saute chicken, make sauce with butter, garlic, cream, cheese; combine."
35,"Soup","Clam chowder","clams, butter, onion, flour, potatoes, cream, thyme, salt, pepper","Cook onion, add flour, then other ingredients, simmer until thick."
36,"Salad","Waldorf salad","apples, celery, grapes, walnuts, mayonnaise, lemon juice, salt, lettuce","Mix apples, celery, grapes, and nuts with dressed mayonnaise, serve on lettuce."
37,"Side","Mac and cheese","macaroni, cheddar cheese, milk, butter, flour, bread crumbs, salt, pepper","Make cheese sauce, mix with macaroni, top with bread crumbs, bake."
38,"Dessert","Brownies","butter, sugar, cocoa powder, vanilla, eggs, flour, baking powder, salt","Combine ingredients, spread in pan, bake at 350째F for 20-25 mins."
39,"Beverage","Green tea","water, green tea leaves","Steep tea leaves in hot water for 3-5 mins, remove leaves."
40,"Main Dish","Vegetarian chili","beans, tomatoes, corn, vegetable broth, chili powder, garlic, onion, olive oil, salt","Cook vegetables in oil, add other ingredients, simmer for 30 mins."
41,"Soup","Broccoli Cheddar Soup","broccoli, cheddar cheese, onion, garlic, butter, flour, milk, chicken broth, salt, pepper","Saute onion and garlic, add flour, milk, and broth, then broccoli, simmer until soft, blend, add cheese."
42,"Dessert","Raspberry Sorbet","raspberries, sugar, water, lemon juice","Blend raspberries, sugar, and water, freeze, mix in lemon juice, freeze until solid."
43,"Salad","Quinoa Salad","quinoa, cherry tomatoes, cucumber, feta cheese, olive oil, lemon juice, salt, pepper","Cook quinoa, mix with vegetables and cheese, dress with olive oil and lemon juice."
44,"Main Dish","Honey Mustard Chicken","chicken breasts, honey, Dijon mustard, garlic, olive oil, salt, pepper","Marinate chicken in honey mustard sauce, bake or grill until cooked through."
45,"Side","Zucchini Fritters","zucchini, eggs, flour, Parmesan cheese, garlic, salt, pepper, olive oil","Mix ingredients, form patties, fry until golden brown."
46,"Beverage","Sangria","red wine, brandy, orange juice, mixed fruits (like berries, oranges, apples), sugar, soda water","Mix wine, brandy, juice, and fruits, chill, add soda before serving."
47,"Dessert","Cheesecake","cream cheese, sugar, eggs, vanilla extract, graham cracker crust, sour cream","Mix ingredients, pour into crust, bake, cool, top with sour cream."
48,"Soup","Lentil Soup","lentils, carrots, celery, onions, tomatoes, garlic, vegetable broth, salt, pepper, cumin","Saute vegetables, add lentils and broth, simmer until lentils are tender."
49,"Main Dish","Fish Tacos","white fish, cabbage, flour tortillas, avocado, lime, sour cream, paprika, cumin, salt, pepper","Season fish, grill, assemble tacos with toppings."
50,"Salad","Potato Salad","potatoes, mayonnaise, mustard, celery, onions, eggs, salt, pepper","Boil potatoes and eggs, chop, mix with other ingredients, chill."
51,"Side","Grilled Asparagus","asparagus, olive oil, lemon juice, garlic, salt, pepper","Toss asparagus with ingredients, grill until tender."
52,"Dessert","Pancakes","flour, baking powder, sugar, salt, milk, egg, butter","Mix dry and wet ingredients separately, combine, cook on griddle until golden brown."
53,"Beverage","Mojito","white rum, lime juice, sugar, mint leaves, soda water, ice","Muddle mint with sugar and lime juice, add rum, top with soda water and ice."
54,"Main Dish","Lasagna","lasagna noodles, ricotta cheese, mozzarella, Parmesan, marinara sauce, ground beef, garlic, onion, salt, pepper","Layer cooked ingredients and cheeses, bake until golden and bubbly."
55,"Soup","Butternut Squash Soup","butternut squash, onions, vegetable broth, coconut milk, curry powder, salt, pepper","Cook onions and squash, blend with liquids and spices, heat before serving."
56,"Salad","Pasta Salad","pasta, cherry tomatoes, cucumber, olives, feta cheese, Italian dressing","Cook pasta, mix with other ingredients, chill."
57,"Side","Garlic Bread","baguette, butter, garlic, parsley, Parmesan cheese","Mix butter, garlic, parsley, spread on bread, sprinkle cheese, broil until golden."
58,"Dessert","Gelato","milk, sugar, egg yolks, vanilla extract","Heat milk, mix in other ingredients, churn in ice cream maker."
59,"Beverage","Smoothie Bowl","frozen berries, banana, yogurt, honey, granola, assorted toppings (like nuts, seeds, fruit)","Blend frozen ingredients, pour into bowl, add toppings."
60,"Main Dish","Vegetable Curry","mixed vegetables, coconut milk, curry paste, garlic, ginger, rice, cilantro, salt","Saute vegetables with curry paste, garlic, ginger, add coconut milk, serve over rice with cilantro."
